Departamento;Empresas creadas promedio
AMAZONAS;451
ANTIOQUIA;31978
ARAUCA;1675
ATLANTICO;13473
BOGOTA;64428
BOLIVAR;8215
BOYACA;7796
CALDAS;5190
CAQUETA;2032
CASANARE;3724
CAUCA;4095
CESAR;5050
CHOCO;1562
CORDOBA;3878
CUNDINAMARCA;14863
GUAINIA;174
GUAVIARE;505
HUILA;7049
LA GUAJIRA;2672
MAGDALENA;5787
META;8652
N. DE SANTANDER;9528
NARIÑO;5613
PUTUMAYO;1731
QUINDIO;3821
RISARALDA;6735
SAN ANDRES;583
SANTANDER;15152
SUCRE;2818
TOLIMA;8127
VALLE DEL CAUCA;23350
VAUPES;94
VICHADA;288
