Rama;Empresas creadas promedio
Agricultura;4649
Minas ;1666
Industria;26862
Suministro electricidad, gas, vapor;261
Distribución de agua, saneamiento;1540
Construcción;14475
Comercio, reparación vehículos y motocicletas;104931
Transporte y almacenamiento;7675
Alojamiento y servicios de comida;35433
Información y comunicaciones;9475
Actividades financieras y seguros;3394
Actividades inmobiliarias;4334
Actividades profesionales, científicas y técnicas;17123
Actividades de servicios adm. y de apoyo;11873
No identificada;583
No identificada;5679
Administración pública y defensa, seguridad social;156
Educación;2909
Salud y asistencia social;3915
Actividades artísticas y de entretenimiento;7048
Otras actividades de seguros;11468
Actividades de los hogares;42
Actividades de organizaciones y entidades extraterritoriales;2
